Sentence	Entities
ê mày, tao nghe nói chỗ đường nguyễn văn linh quận 7 bán gà nướng mật ong ngon lắm.	"[{""start"": 57, ""end"": 59, ""label"": ""NGUYEN_LIEU""}, {""start"": 24, ""end"": 29, ""label"": ""NGUYEN_LIEU""}, {""start"": 66, ""end"": 73, ""label"": ""NGUYEN_LIEU""}, {""start"": 57, ""end"": 65, ""label"": ""NGUYEN_LIEU""}, {""start"": 60, ""end"": 65, ""label"": ""CACH_CHE_BIEN""}]"
chỗ quán ăn ở gần nhà có món canh gà nấu đậu xanh rất hợp khẩu vị, nóng hổi luôn.	"[{""start"": 34, ""end"": 36, ""label"": ""NGUYEN_LIEU""}, {""start"": 41, ""end"": 49, ""label"": ""NGUYEN_LIEU""}, {""start"": 73, ""end"": 75, ""label"": ""NGUYEN_LIEU""}, {""start"": 29, ""end"": 33, ""label"": ""CACH_CHE_BIEN""}]"
hôm qua tao ăn thử lẩu bò viên, ăn với bắp cải tím ngon cực kỳ.	"[{""start"": 39, ""end"": 46, ""label"": ""NGUYEN_LIEU""}, {""start"": 19, ""end"": 22, ""label"": ""NGUYEN_LIEU""}, {""start"": 23, ""end"": 25, ""label"": ""NGUYEN_LIEU""}, {""start"": 39, ""end"": 50, ""label"": ""NGUYEN_LIEU""}, {""start"": 39, ""end"": 42, ""label"": ""NGUYEN_LIEU""}, {""start"": 23, ""end"": 30, ""label"": ""NGUYEN_LIEU""}, {""start"": 19, ""end"": 22, ""label"": ""CACH_CHE_BIEN""}]"
tao có nghe nói chỗ đó có món gà luộc chấm muối tiêu chanh, ăn cực kỳ tươi và ngon.	"[{""start"": 30, ""end"": 32, ""label"": ""NGUYEN_LIEU""}, {""start"": 43, ""end"": 47, ""label"": ""NGUYEN_LIEU""}, {""start"": 48, ""end"": 52, ""label"": ""NGUYEN_LIEU""}, {""start"": 53, ""end"": 58, ""label"": ""NGUYEN_LIEU""}, {""start"": 30, ""end"": 37, ""label"": ""NGUYEN_LIEU""}, {""start"": 33, ""end"": 37, ""label"": ""CACH_CHE_BIEN""}]"
chỗ quán gần công ty có món bò nướng rất thơm, ăn kèm với xà lách và rau sống.	"[{""start"": 28, ""end"": 30, ""label"": ""NGUYEN_LIEU""}, {""start"": 69, ""end"": 77, ""label"": ""NGUYEN_LIEU""}, {""start"": 28, ""end"": 36, ""label"": ""NGUYEN_LIEU""}, {""start"": 58, ""end"": 65, ""label"": ""NGUYEN_LIEU""}, {""start"": 31, ""end"": 36, ""label"": ""CACH_CHE_BIEN""}, {""start"": 58, ""end"": 60, ""label"": ""CACH_CHE_BIEN""}]"
mày thử món phở với thịt bò tái ở quán góc đường lê văn sỹ chưa? họ làm nước lèo cực kỳ ngọt và đậm đà.	"[{""start"": 43, ""end"": 48, ""label"": ""NGUYEN_LIEU""}, {""start"": 25, ""end"": 27, ""label"": ""NGUYEN_LIEU""}, {""start"": 12, ""end"": 15, ""label"": ""NGUYEN_LIEU""}, {""start"": 72, ""end"": 76, ""label"": ""NGUYEN_LIEU""}, {""start"": 20, ""end"": 27, ""label"": ""NGUYEN_LIEU""}, {""start"": 20, ""end"": 24, ""label"": ""NGUYEN_LIEU""}, {""start"": 20, ""end"": 31, ""label"": ""NGUYEN_LIEU""}, {""start"": 28, ""end"": 31, ""label"": ""CACH_CHE_BIEN""}]"
quán gần trung tâm thương mại có món xào rau củ với đậu que, ăn vừa ngon vừa bổ dưỡng.	"[{""start"": 52, ""end"": 59, ""label"": ""NGUYEN_LIEU""}, {""start"": 41, ""end"": 47, ""label"": ""NGUYEN_LIEU""}, {""start"": 37, ""end"": 40, ""label"": ""CACH_CHE_BIEN""}, {""start"": 37, ""end"": 39, ""label"": ""CACH_CHE_BIEN""}]"
nhà hàng ngoài hà nội có món khoai tây nướng ăn kèm với sườn non, tuyệt vời lắm.	"[{""start"": 29, ""end"": 38, ""label"": ""NGUYEN_LIEU""}, {""start"": 56, ""end"": 64, ""label"": ""NGUYEN_LIEU""}, {""start"": 56, ""end"": 60, ""label"": ""NGUYEN_LIEU""}, {""start"": 29, ""end"": 44, ""label"": ""NGUYEN_LIEU""}, {""start"": 29, ""end"": 32, ""label"": ""NGUYEN_LIEU""}, {""start"": 39, ""end"": 44, ""label"": ""CACH_CHE_BIEN""}, {""start"": 29, ""end"": 32, ""label"": ""CACH_CHE_BIEN""}]"
tao thấy chỗ đó bán gà xào rau củ, với cà rốt và đậu que, vừa ngon vừa đầy đủ dinh dưỡng.	"[{""start"": 20, ""end"": 22, ""label"": ""NGUYEN_LIEU""}, {""start"": 39, ""end"": 45, ""label"": ""NGUYEN_LIEU""}, {""start"": 49, ""end"": 56, ""label"": ""NGUYEN_LIEU""}, {""start"": 27, ""end"": 33, ""label"": ""NGUYEN_LIEU""}, {""start"": 23, ""end"": 26, ""label"": ""CACH_CHE_BIEN""}, {""start"": 23, ""end"": 25, ""label"": ""CACH_CHE_BIEN""}]"
ở quán đó họ làm món canh cá diêu hồng với rau ngót, rất thanh mát và dễ ăn.	"[{""start"": 43, ""end"": 51, ""label"": ""NGUYEN_LIEU""}, {""start"": 26, ""end"": 28, ""label"": ""NGUYEN_LIEU""}, {""start"": 26, ""end"": 38, ""label"": ""NGUYEN_LIEU""}, {""start"": 21, ""end"": 25, ""label"": ""CACH_CHE_BIEN""}]"
có một quán ở gần trường bán bánh bao chiên giòn, nhân thịt tôm cực kỳ ngon luôn.	"[{""start"": 60, ""end"": 63, ""label"": ""NGUYEN_LIEU""}, {""start"": 29, ""end"": 37, ""label"": ""NGUYEN_LIEU""}, {""start"": 50, ""end"": 63, ""label"": ""NGUYEN_LIEU""}, {""start"": 55, ""end"": 59, ""label"": ""NGUYEN_LIEU""}, {""start"": 38, ""end"": 43, ""label"": ""CACH_CHE_BIEN""}, {""start"": 29, ""end"": 33, ""label"": ""CACH_CHE_BIEN""}]"
tao vừa thử món cơm tấm sườn heo nướng tại quán đó, ăn kèm với xà lách và rau sống, vừa miệng lắm.	"[{""start"": 74, ""end"": 82, ""label"": ""NGUYEN_LIEU""}, {""start"": 24, ""end"": 32, ""label"": ""NGUYEN_LIEU""}, {""start"": 16, ""end"": 19, ""label"": ""NGUYEN_LIEU""}, {""start"": 24, ""end"": 28, ""label"": ""NGUYEN_LIEU""}, {""start"": 63, ""end"": 70, ""label"": ""NGUYEN_LIEU""}, {""start"": 33, ""end"": 38, ""label"": ""CACH_CHE_BIEN""}, {""start"": 63, ""end"": 65, ""label"": ""CACH_CHE_BIEN""}]"
chỗ đó còn bán món chả lụa chiên ăn với bún rất tuyệt, thích hợp cho những bữa sáng nhanh gọn.	"[{""start"": 19, ""end"": 26, ""label"": ""NGUYEN_LIEU""}, {""start"": 40, ""end"": 43, ""label"": ""NGUYEN_LIEU""}, {""start"": 27, ""end"": 32, ""label"": ""CACH_CHE_BIEN""}]"
